,OA.TEMP,OA.HUM,CHW.SEC.TONS,STM.FLOW
11/1/2014 12:00:00 AM,48.2999992370605,59.7999992370605,9851,269.775997161865
11/1/2014 1:00:00 AM,48.2999992370605,63.9000015258789,9737,277.599995613098
11/1/2014 2:00:00 AM,47.2999992370605,70.8000030517578,9678,276.847993850708
11/1/2014 3:00:00 AM,48.2999992370605,70.8000030517578,10514,251.136003494263
11/1/2014 4:00:00 AM,48.2999992370605,70.8000030517578,9933,259.808002471924
11/1/2014 5:00:00 AM,48.2999992370605,70.8000030517578,9994,257.375997543335
11/1/2014 6:00:00 AM,48.2999992370605,69.9000015258789,9903,256.943999290466
11/1/2014 7:00:00 AM,49.4000015258789,65.9000015258789,9812,254.543998718262
11/1/2014 8:00:00 AM,49.4000015258789,64.9000015258789,10077,250.368000030518
11/1/2014 9:00:00 AM,50.0999984741211,58.9000015258789,10178,256.400002479553
11/1/2014 10:00:00 AM,51.2999992370605,58.9000015258789,10562,255.039996147156
11/1/2014 11:00:00 AM,50.0999984741211,60.7999992370605,10209,259.439997673035
11/1/2014 12:00:00 PM,50.0999984741211,58.9000015258789,10241,256.031998634338
11/1/2014 1:00:00 PM,50.0999984741211,54.7999992370605,10335,258.623999595642
11/1/2014 2:00:00 PM,50.0999984741211,51.7000007629395,10434,263.728001594543
11/1/2014 3:00:00 PM,50.0999984741211,51.7000007629395,10178,268.240002632141
11/1/2014 4:00:00 PM,49.2000007629395,53.7999992370605,9903,265.327997207642
11/1/2014 5:00:00 PM,48,49.7999992370605,9903,286.81599521637
11/1/2014 6:00:00 PM,47.2999992370605,50.7999992370605,9619,295.151998519897
11/1/2014 7:00:00 PM,46,51.7000007629395,9619,289.312003135681
11/1/2014 8:00:00 PM,46.2000007629395,49.7999992370605,9731,298.544006347656
11/1/2014 9:00:00 PM,45,48.7999992370605,9507,300.959997653961
11/1/2014 10:00:00 PM,44.9930305480957,49.7648086547852,9619.356,317.551997184753
11/1/2014 11:00:00 PM,44.9094085693359,49.3425064086914,9623.637,311.855999946594
11/2/2014 12:00:00 AM,44.8257827758789,48.9202079772949,9627.916,317.296004295349
11/2/2014 1:00:00 AM,44.7421607971191,48.4979095458984,9632.196,329.456003189087
11/2/2014 2:00:00 AM,44.5749130249023,47.6533088684082,9640.755,326.463998794556
11/2/2014 3:00:00 AM,44.4912910461426,47.2310104370117,9645.035,319.551998138428
11/2/2014 4:00:00 AM,44.4076652526855,46.8087120056152,9649.314,323.596001625061
11/2/2014 5:00:00 AM,44.3240432739258,46.3864097595215,9653.595,310.368006706238
11/2/2014 6:00:00 AM,44.2404174804688,45.964111328125,9657.874,305.500001907349
11/2/2014 7:00:00 AM,44.156795501709,45.5418128967285,9662.154,297.46400976181
11/2/2014 8:00:00 AM,44.073169708252,45.1195106506348,9666.434,285.079995632172
11/2/2014 9:00:00 AM,43.9895477294922,44.6972122192383,9670.713,279.007997512817
11/2/2014 10:00:00 AM,43.9059219360352,44.2749137878418,9674.993,274.051992893219
11/2/2014 11:00:00 AM,43.8222999572754,43.852611541748,9679.272,274.728005409241
11/2/2014 12:00:00 PM,43.7386741638184,43.4303131103516,9683.553,275.239995479584
11/2/2014 1:00:00 PM,43.6550521850586,43.0080146789551,9687.832,292.016000032425
11/2/2014 2:00:00 PM,43.5714302062988,42.5857162475586,9692.112,295.723998785019
11/2/2014 3:00:00 PM,43.4878044128418,42.1634140014648,9696.392,302.420003652573
11/2/2014 4:00:00 PM,43.404182434082,41.7411155700684,9700.671,313.392003774643
11/2/2014 5:00:00 PM,43.320556640625,41.3188171386719,9704.951,303.676006555557
11/2/2014 6:00:00 PM,43.2369346618652,40.8965148925781,9709.23,300.171995401382
11/2/2014 7:00:00 PM,43.1533088684082,40.4742164611816,9713.511,300.915996789932
11/2/2014 8:00:00 PM,43.0696868896484,40.0519180297852,9717.79,299.291998147964
11/2/2014 9:00:00 PM,43,39.7999992370605,9560,312.32398891449
11/2/2014 10:00:00 PM,41.7999992370605,42.7999992370605,9530,315.047996520996
11/2/2014 11:00:00 PM,40.9000015258789,45.7000007629395,9761,327.876005172729
11/3/2014 12:00:00 AM,40.9000015258789,44.7000007629395,11689,344.864004135132
11/3/2014 1:00:00 AM,41.7999992370605,42.7999992370605,11795,344.364001274109
11/3/2014 2:00:00 AM,43,39.7000007629395,12678,348.943998336792
11/3/2014 3:00:00 AM,45,35.7000007629395,9536,336.57999420166
11/3/2014 4:00:00 AM,45,33.7000007629395,10675,355
11/3/2014 5:00:00 AM,48,27.7000007629395,10176,315.908006429672
11/3/2014 6:00:00 AM,52.2000007629395,16.5,10303,303.252002477646
11/3/2014 7:00:00 AM,53.2999992370605,21.6000003814697,10648,273.287994146347
11/3/2014 8:00:00 AM,55.4000015258789,18.6000003814697,10607,277.971999406815
11/3/2014 9:00:00 AM,57.5,17.5,10209,277.731995820999
11/3/2014 10:00:00 AM,48.7185134887695,28.4832210540771,11737,267.2480032444
11/3/2014 11:00:00 AM,52.5335159301758,16.7845287322998,11925,242.247997283936
11/3/2014 12:00:00 PM,54.5451164245605,21.3525485992432,11804,249.015995979309
11/3/2014 1:00:00 PM,55.9747505187988,18.8933334350586,11754,253.816004514694
11/3/2014 2:00:00 PM,57.8347511291504,16.938793182373,11366,254.703998804092
11/3/2014 3:00:00 PM,60.5631561279297,14.8355913162231,10512,254.516008615494
11/3/2014 4:00:00 PM,60.6604461669922,16.1307487487793,10460,253.659998178482
11/3/2014 5:00:00 PM,58.9685020446777,18.3315868377686,10543,253.767993927002
11/3/2014 6:00:00 PM,56.4484977722168,27.6749992370605,10016,262.935997247696
11/3/2014 7:00:00 PM,55.8890914916992,25.2999992370605,9873,277.212003946304
11/3/2014 8:00:00 PM,55.9182357788086,26.1800003051758,9424,274.484002351761
11/3/2014 9:00:00 PM,55.0882377624512,25.7734336853027,9653,270.07599568367
11/3/2014 10:00:00 PM,54.2343101501465,28.05983543396,9761,277.416001558304
11/3/2014 11:00:00 PM,53.2886924743652,30.1016864776611,9731,279.804003477097
11/4/2014 12:00:00 AM,50.324520111084,43.5833320617676,9671,289.92799782753
11/4/2014 1:00:00 AM,52.6021194458008,32.7970581054688,9843,285.256000757217
11/4/2014 2:00:00 AM,50.8309898376465,49.4967384338379,9569,295.39599442482
11/4/2014 3:00:00 AM,51.1828269958496,50.2396240234375,10708,288.684000253677
11/4/2014 4:00:00 AM,48.6322975158691,55.6911773681641,10756,260.639996767044
11/4/2014 5:00:00 AM,60.5,54.5381278991699,11290,239.86800122261
11/4/2014 6:00:00 AM,48.4532241821289,56.0578956604004,12602,235.10799741745
11/4/2014 7:00:00 AM,47.8423156738281,60.6475372314453,12151,229.940000772476
11/4/2014 8:00:00 AM,51.9186134338379,49.8596038818359,16337,239.635996818542
11/4/2014 9:00:00 AM,56.0739898681641,35.8553695678711,15871,247.092000007629
11/4/2014 10:00:00 AM,60.3487968444824,32.4243698120117,14124,227.071995019913
11/4/2014 11:00:00 AM,63.1451148986816,32.4289474487305,14411,215.680004358292
11/4/2014 12:00:00 PM,65.0163726806641,30.623556137085,13971,222.080001831055
11/4/2014 1:00:00 PM,67.511344909668,24.2142868041992,13529,221.651996612549
11/4/2014 2:00:00 PM,69.0268096923828,22.41428565979,12768,224.276000976563
11/4/2014 3:00:00 PM,63.7000007629395,30.6963081359863,13167,221.012003421783
11/4/2014 4:00:00 PM,68.2376174926758,29.8624992370605,13287,224.339997768402
11/4/2014 5:00:00 PM,66.2607574462891,34.8721885681152,12804,215.39600110054
11/4/2014 6:00:00 PM,64.484016418457,42.5999984741211,12563,217.508003234863
11/4/2014 7:00:00 PM,63.5740203857422,36.5349998474121,11771,220.388002872467
11/4/2014 8:00:00 PM,63.1944999694824,34.241024017334,11225,226.643993854523
11/4/2014 9:00:00 PM,63.298698425293,32.7237510681152,11299,224.591994524002
11/4/2014 10:00:00 PM,62.7394065856934,33.4709510803223,10234,231.363995075226
11/4/2014 11:00:00 PM,61.7444076538086,34.9363403320313,10598,236.836001634598
11/5/2014 12:00:00 AM,60.8007125854492,35.1932106018066,10765,249.280002832413
11/5/2014 1:00:00 AM,59.8907127380371,35.8184089660645,10327,248.143998384476
11/5/2014 2:00:00 AM,59.0212898254395,36.0791282653809,10617,260.131998300552
11/5/2014 3:00:00 AM,58.1785163879395,36.9039535522461,10329,261.507997989655
11/5/2014 4:00:00 AM,57.5181999206543,38.2999992370605,11618,263.379992008209
11/5/2014 5:00:00 AM,56.9431991577148,41.0218391418457,11225,253.684004068375
11/5/2014 6:00:00 AM,56.3579788208008,47.1362075805664,11711,242.532005548477
11/5/2014 7:00:00 AM,55.7679824829102,45.2312507629395,12125,226.259995937347
11/5/2014 8:00:00 AM,56.2136917114258,44.0092353820801,14979,223.252000331879
11/5/2014 9:00:00 AM,57.1436920166016,45.8484039306641,14155,229.988001346588
11/5/2014 10:00:00 AM,59.3315620422363,44.5099983215332,14372,218.100003242493
11/5/2014 11:00:00 AM,62.1076049804688,40.8252220153809,13852,211.439999341965
11/5/2014 12:00:00 PM,63.9653816223145,41.458309173584,12097,211.311999320984
11/5/2014 1:00:00 PM,65.5353851318359,41.5328559875488,12209,219.216001749039
11/5/2014 2:00:00 PM,65.2780532836914,45.1911163330078,12265,215.488003015518
11/5/2014 3:00:00 PM,64.4480514526367,48.3184242248535,12197,208.767998933792
11/5/2014 4:00:00 PM,63.1992835998535,55.1410980224609,12720,220.095999956131
11/5/2014 5:00:00 PM,61.8192863464355,57.6610984802246,12286,202.911993265152
11/5/2014 6:00:00 PM,60.7793426513672,59.4950942993164,11993,219.600000619888
11/5/2014 7:00:00 PM,59.8459701538086,64.438850402832,11925,215.679998636246
11/5/2014 8:00:00 PM,58.8606071472168,72.7125015258789,11410,223.696003675461
11/5/2014 9:00:00 PM,57.8656044006348,78.280891418457,11279,227.487999677658
11/5/2014 10:00:00 PM,57.1658706665039,84.0171737670898,10898,224.144004106522
11/5/2014 11:00:00 PM,56.5208702087402,87.3393325805664,10779,228.847995042801
11/6/2014 12:00:00 AM,55.5510787963867,87.7376556396484,11225,258.41600060463
11/6/2014 1:00:00 AM,54.5210800170898,88.6010437011719,11417,256.016000032425
11/6/2014 2:00:00 AM,53.9775199890137,89.3510437011719,11299,272.671991586685
11/6/2014 3:00:00 AM,53.5241317749023,90.5017395019531,10418,279.087995767593
11/6/2014 4:00:00 AM,52.9721565246582,91.7517395019531,11784,261.888005495071
11/6/2014 5:00:00 AM,52.4121551513672,92.5851898193359,11695,244.272001266479
11/6/2014 6:00:00 AM,51.7781791687012,93.3154144287109,11884,222.815997123718
11/6/2014 7:00:00 AM,51.1381797790527,93.7978744506836,11715,207.199996948242
11/6/2014 8:00:00 AM,51.8390235900879,94.2478790283203,12226,210.719995975494
11/6/2014 9:00:00 AM,52.6490249633789,93.9649505615234,14985,237.648001194
11/6/2014 10:00:00 AM,54.1756858825684,92.7373352050781,11619,203.039994239807
11/6/2014 11:00:00 AM,55.760684967041,86.3592529296875,13768,189.231996536255
11/6/2014 12:00:00 PM,58.9418716430664,76.2586441040039,13846,202.703999519348
11/6/2014 1:00:00 PM,62.2152557373047,68.2146682739258,13478,200.159995079041
11/6/2014 2:00:00 PM,60.0921783447266,75.1267852783203,10211,216.559994697571
11/6/2014 3:00:00 PM,58.6968765258789,87.1977996826172,10479,213.61600112915
11/6/2014 4:00:00 PM,58.9668731689453,88.0982971191406,10779,216.944005966187
11/6/2014 5:00:00 PM,58.9365234375,88.8718872070313,10210,223.616003990173
11/6/2014 6:00:00 PM,57.4765014648438,91.2281112670898,9261,242.495994567871
