x, sin(x)
0.0,0.5
0.001,0.500499999917
0.002,0.500999999333
0.003,0.50149999775
0.004,0.501999994667
0.005,0.502499989583
0.006,0.502999982
0.007,0.503499971417
0.008,0.503999957333
0.009,0.50449993925
0.01,0.504999916667
0.011,0.505499889084
0.012,0.505999856001
0.013,0.506499816918
0.014,0.506999771336
0.015,0.507499718753
0.016,0.507999658671
0.017,0.508499590589
0.018,0.508999514008
0.019,0.509499428427
0.02,0.509999333347
0.021,0.510499228267
0.022,0.510999112688
0.023,0.51149898611
0.024,0.511998848033
0.025,0.512498697957
0.026,0.512998535383
0.027,0.51349835981
0.028,0.513998170738
0.029,0.514497967669
0.03,0.514997750101
0.031,0.515497517536
0.032,0.515997269473
0.033,0.516497005413
0.034,0.516996724856
0.035,0.517496427302
0.036,0.517996112252
0.037,0.518495779206
0.038,0.518995427663
0.039,0.519495057126
0.04,0.519994667093
0.041,0.520494257066
0.042,0.520993826545
0.043,0.521493375029
0.044,0.52199290202
0.045,0.522492407019
0.046,0.522991889525
0.047,0.523491349039
0.048,0.523990785062
0.049,0.524490197094
0.05,0.524989584635
0.051,0.525488947188
0.052,0.525988284251
0.053,0.526487595326
0.054,0.526986879913
0.055,0.527486137514
0.056,0.527985367628
0.057,0.528484569757
0.058,0.528983743401
0.059,0.529482888062
0.06,0.52998200324
0.061,0.530481088436
0.062,0.53098014315
0.063,0.531479166885
0.064,0.53197815914
0.065,0.532477119417
0.066,0.532976047218
0.067,0.533474942042
0.068,0.533973803391
0.069,0.534472630766
0.07,0.534971423669
0.071,0.5354701816
0.072,0.535968904061
0.073,0.536467590553
0.074,0.536966240578
0.075,0.537464853636
0.076,0.53796342923
0.077,0.53846196686
0.078,0.538960466028
0.079,0.539458926236
0.08,0.539957346985
0.081,0.540455727776
0.082,0.540954068112
0.083,0.541452367493
0.084,0.541950625423
0.085,0.542448841401
0.086,0.542947014931
0.087,0.543445145514
0.088,0.543943232651
0.089,0.544441275846
0.09,0.544939274599
0.091,0.545437228413
0.092,0.54593513679
0.093,0.546432999231
0.094,0.54693081524
0.095,0.547428584317
0.096,0.547926305966
0.097,0.548423979689
0.098,0.548921604988
0.099,0.549419181365
0.1,0.549916708323
0.101,0.550414185365
0.102,0.550911611992
0.103,0.551408987708
0.104,0.551906312014
0.105,0.552403584414
0.106,0.552900804411
0.107,0.553397971507
0.108,0.553895085205
0.109,0.554392145008
0.11,0.554889150419
0.111,0.55538610094
0.112,0.555882996076
0.113,0.556379835328
0.114,0.556876618201
0.115,0.557373344197
0.116,0.55787001282
0.117,0.558366623572
0.118,0.558863175958
0.119,0.559359669481
0.12,0.559856103644
0.121,0.560352477952
0.122,0.560848791906
0.123,0.561345045012
0.124,0.561841236773
0.125,0.562337366693
0.126,0.562833434275
0.127,0.563329439024
0.128,0.563825380443
0.129,0.564321258037
0.13,0.56481707131
0.131,0.565312819766
0.132,0.565808502908
0.133,0.566304120243
0.134,0.566799671273
0.135,0.567295155504
0.136,0.567790572439
0.137,0.568285921584
0.138,0.568781202443
0.139,0.569276414521
0.14,0.569771557322
0.141,0.570266630352
0.142,0.570761633115
0.143,0.571256565117
0.144,0.571751425862
0.145,0.572246214855
0.146,0.572740931603
0.147,0.573235575609
0.148,0.57373014638
0.149,0.574224643421
0.15,0.574719066237
0.151,0.575213414334
0.152,0.575707687217
0.153,0.576201884393
0.154,0.576696005367
0.155,0.577190049646
0.156,0.577684016734
0.157,0.578177906138
0.158,0.578671717364
0.159,0.579165449918
0.16,0.579659103307
0.161,0.580152677037
0.162,0.580646170614
0.163,0.581139583545
0.164,0.581632915337
0.165,0.582126165495
0.166,0.582619333528
0.167,0.583112418941
0.168,0.583605421241
0.169,0.584098339937
0.17,0.584591174533
0.171,0.585083924539
0.172,0.585576589461
0.173,0.586069168806
0.174,0.586561662082
0.175,0.587054068797
0.176,0.587546388457
0.177,0.588038620571
0.178,0.588530764647
0.179,0.589022820191
0.18,0.589514786713
0.181,0.59000666372
0.182,0.59049845072
0.183,0.590990147222
0.184,0.591481752734
0.185,0.591973266764
0.186,0.592464688821
0.187,0.592956018413
0.188,0.593447255049
0.189,0.593938398238
0.19,0.594429447488
0.191,0.594920402309
0.192,0.59541126221
0.193,0.595902026699
0.194,0.596392695287
0.195,0.596883267481
0.196,0.597373742793
0.197,0.59786412073
0.198,0.598354400804
0.199,0.598844582523
0.2,0.599334665398
0.201,0.599824648937
0.202,0.600314532653
0.203,0.600804316053
0.204,0.60129399865
0.205,0.601783579952
0.206,0.602273059471
0.207,0.602762436717
0.208,0.603251711201
0.209,0.603740882432
0.21,0.604229949923
0.211,0.604718913184
0.212,0.605207771726
0.213,0.60569652506
0.214,0.606185172698
0.215,0.60667371415
0.216,0.607162148929
0.217,0.607650476546
0.218,0.608138696512
0.219,0.60862680834
0.22,0.60911481154
0.221,0.609602705626
0.222,0.61009049011
0.223,0.610578164502
0.224,0.611065728317
0.225,0.611553181066
0.226,0.612040522262
0.227,0.612527751417
0.228,0.613014868044
0.229,0.613501871657
0.23,0.613988761768
0.231,0.61447553789
0.232,0.614962199536
0.233,0.61544874622
0.234,0.615935177456
0.235,0.616421492756
0.236,0.616907691635
0.237,0.617393773606
0.238,0.617879738184
0.239,0.618365584881
0.24,0.618851313214
0.241,0.619336922694
0.242,0.619822412838
0.243,0.62030778316
0.244,0.620793033174
0.245,0.621278162394
0.246,0.621763170337
0.247,0.622248056516
0.248,0.622732820448
0.249,0.623217461646
0.25,0.623701979627
0.251,0.624186373906
0.252,0.624670643999
0.253,0.625154789421
0.254,0.625638809689
0.255,0.626122704317
0.256,0.626606472823
0.257,0.627090114722
0.258,0.627573629532
0.259,0.628057016767
0.26,0.628540275946
0.261,0.629023406584
0.262,0.629506408199
0.263,0.629989280308
0.264,0.630472022427
0.265,0.630954634075
0.266,0.631437114767
0.267,0.631919464023
